Pres Vapor Caldeira;Tx Compressao Matriz;Afastamento Rolos;Amperagem Condicionador;Velocidade Alimentador;Porc Temp Condicionador;Pressao Vapor;Amperagem Peletizadora;Porc Finos Tyl6;Porc Pdi Tyl6
8,6;18;0;39;72;77;1,6;643;12,61950286806883365200764818355640535373;83,2
8,6;15;0;38;44;73;1,4;648;12,72885789014821272885789014821272885789;83
9,4;18;1;38;75;81;1,6;624;8,95238095238095238095238095238095238095;86,6
9,1;18,75;0;37;69;79;1,7;647;17,38761662425784563189143341815097540288;81
8,3;18;1;42;76;83;1,6;625;15,27196652719665271966527196652719665272;82,6
9,4;15;1;38;45;73;1,5;611;19,13827655310621242484969939879759519038;80
9,2;15;1;39;45;70;1,5;641;16,63619744058500914076782449725776965265;80,6
9,3;18;1,5;37;71;75;1,7;628;11,31178707224334600760456273764258555133;86
7,4;18;0;38;80;75;1,8;628;14,18650793650793650793650793650793650794;81,6
8,8;18;0;37;56;74;1,8;629;7,13043478260869565217391304347826086957;90,6
9,1;15;0;38;42;70;1,6;655;13,74795417348608837970540098199672667758;86,6
9,1;15;0;38;37;73;1,5;657;10,70366699702675916749256689791873141724;85,8
8,8;15;0;36;38;73;1,6;657;9,27272727272727272727272727272727272727;86,2
9,3;15;0;38;39;74;1,6;635;10,79393398751115075825156110615521855486;85,2
7,8;18,94;0;40;45;70;1,5;637;12,99638989169675090252707581227436823105;81,6
8,7;18,75;0;38;42;73;1,5;645;10,65857885615251299826689774696707105719;83
9,1;18,75;0;39;43;74;1,4;615;11,42303969022265246853823814133591481123;80,2
9,2;18;0;40;79;83;1,6;638;21,66666666666666666666666666666666666667;73
8,9;18;0;38;76;82;1,7;632;19,65897693079237713139418254764292878636;80
9,2;15;0;40;44;73;1,5;656;17,98892988929889298892988929889298892989;81,2
9,1;18;1;39;76;80;1,7;630;23,53525322740814299900695134061569016882;79,8
9,3;18,94;0;39;45;75;1,5;630;16,19047619047619047619047619047619047619;78
9,3;18,75;0;41;77;79;1,7;627;19,36316695352839931153184165232358003442;79,6
9,1;18,75;0;39;85;80;1,7;606;19,52054794520547945205479452054794520548;80
7,9;15;1;38;42;69;1,5;662;12,5797629899726526891522333637192342753;85
9,7;18;1,5;0;74;75;1,7;574;18,47826086956521739130434782608695652174;80,4
8,9;15;1;38;44;70;1,4;600;16,83760683760683760683760683760683760684;84
8,5;18;0;39;80;75;1,8;620;24,23236514522821576763485477178423236515;75,4
9,7;18,75;0;42;71;84;1,7;633;16,41554321966693100713719270420301348136;77,4
9,6;18,75;0;42;78;78;1,5;635;19,94382022471910112359550561797752808989;75,8
